Year,Hospital,County,er_service_level_desc,type,count
2021,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,8095
2021,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,28307
2022,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,7612
2022,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,29336
2023,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,30794
2023,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,8382
2012,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Admit,6047
2012,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Visit,35342
2013,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Admit,5933
2013,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Visit,36972
2014,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Admit,5349
2014,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Visit,39844
2015,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Admit,5890
2015,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Visit,40430
2016,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Admit,5930
2016,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Visit,39406
2017,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Admit,5687
2017,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Visit,37974
2018,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Admit,5345
2018,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Visit,35522
2019,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Admit,5180
2019,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Visit,34152
2020,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Admit,4409
2020,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Visit,25433
2021,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Admit,4498
2021,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Visit,27058
2022,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Admit,4758
2022,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Visit,29760
2023,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Visit,31444
2023,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Admit,4881
2014,ALTA BATES SUMMIT MEDICAL CENTER-HERRICK CAMPUS,ALAMEDA,,ED_Admit,1
2014,ALTA BATES SUMMIT MEDICAL CENTER-HERRICK CAMPUS,ALAMEDA,,ED_Visit,
2023,ALTA BATES SUMMIT MEDICAL CENTER-HERRICK CAMPUS,ALAMEDA,,ED_Visit,
2023,ALTA BATES SUMMIT MEDICAL CENTER-HERRICK CAMPUS,ALAMEDA,,ED_Admit,5
2012,CHILDRENS HOSPITAL AND RESEARCH CENTER AT OAKLAND,ALAMEDA,BASIC,ED_Admit,6911
2012,CHILDRENS HOSPITAL AND RESEARCH CENTER AT OAKLAND,ALAMEDA,BASIC,ED_Visit,39218
2013,CHILDRENS HOSPITAL AND RESEARCH CENTER AT OAKLAND,ALAMEDA,BASIC,ED_Admit,7017
2013,CHILDRENS HOSPITAL AND RESEARCH CENTER AT OAKLAND,ALAMEDA,BASIC,ED_Visit,38211
2014,CHILDRENS HOSPITAL AND RESEARCH CENTER AT OAKLAND,ALAMEDA,BASIC,ED_Admit,7152
2014,CHILDRENS HOSPITAL AND RESEARCH CENTER AT OAKLAND,ALAMEDA,BASIC,ED_Visit,37139
2015,CHILDRENS HOSPITAL AND RESEARCH CENTER AT OAKLAND,ALAMEDA,BASIC,ED_Admit,6929
2015,CHILDRENS HOSPITAL AND RESEARCH CENTER AT OAKLAND,ALAMEDA,BASIC,ED_Visit,39610
2016,CHILDRENS HOSPITAL AND RESEARCH CENTER AT OAKLAND,ALAMEDA,BASIC,ED_Admit,5980
2016,CHILDRENS HOSPITAL AND RESEARCH CENTER AT OAKLAND,ALAMEDA,BASIC,ED_Visit,39031
2017,CHILDRENS HOSPITAL AND RESEARCH CENTER AT OAKLAND,ALAMEDA,BASIC,ED_Admit,5910
2017,CHILDRENS HOSPITAL AND RESEARCH CENTER AT OAKLAND,ALAMEDA,BASIC,ED_Visit,38201
2012,EDEN MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,6324
2012,EDEN MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,31731
2013,EDEN MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,6300
2013,EDEN MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,32769
2014,EDEN MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,6178
2014,EDEN MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,36537
2015,EDEN MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,5750
2015,EDEN MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,38120
2016,EDEN MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,6261
2016,EDEN MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,39156
2017,EDEN MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,6680
2017,EDEN MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,37650
2018,EDEN MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,6937
2018,EDEN MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,37443
2019,EDEN MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,7079
2019,EDEN MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,37055
2020,EDEN MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,6677
2020,EDEN MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,27526
2021,EDEN MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,6758
2021,EDEN MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,27691
2022,EDEN MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,6574
2022,EDEN MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,31062
2023,EDEN MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,36482
2023,EDEN MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,6707
2019,FREMONT HOSPITAL,ALAMEDA,,ED_Admit,3
2019,FREMONT HOSPITAL,ALAMEDA,,ED_Visit,
2012,HIGHLAND HOSPITAL,ALAMEDA,BASIC,ED_Admit,8992
2012,HIGHLAND HOSPITAL,ALAMEDA,BASIC,ED_Visit,74202
2013,HIGHLAND HOSPITAL,ALAMEDA,BASIC,ED_Admit,8338
2013,HIGHLAND HOSPITAL,ALAMEDA,BASIC,ED_Visit,72496
2014,HIGHLAND HOSPITAL,ALAMEDA,BASIC,ED_Admit,8457
2014,HIGHLAND HOSPITAL,ALAMEDA,BASIC,ED_Visit,66257
2015,HIGHLAND HOSPITAL,ALAMEDA,BASIC,ED_Admit,7937
2015,HIGHLAND HOSPITAL,ALAMEDA,BASIC,ED_Visit,65757
2016,HIGHLAND HOSPITAL,ALAMEDA,BASIC,ED_Admit,7662
2016,HIGHLAND HOSPITAL,ALAMEDA,BASIC,ED_Visit,61887
2017,HIGHLAND HOSPITAL,ALAMEDA,BASIC,ED_Admit,7306
2017,HIGHLAND HOSPITAL,ALAMEDA,BASIC,ED_Visit,58329
2018,HIGHLAND HOSPITAL,ALAMEDA,BASIC,ED_Admit,7997
2018,HIGHLAND HOSPITAL,ALAMEDA,BASIC,ED_Visit,54791
2019,HIGHLAND HOSPITAL,ALAMEDA,BASIC,ED_Admit,8467
2019,HIGHLAND HOSPITAL,ALAMEDA,BASIC,ED_Visit,61587
2020,HIGHLAND HOSPITAL,ALAMEDA,BASIC,ED_Admit,9641
2020,HIGHLAND HOSPITAL,ALAMEDA,BASIC,ED_Visit,60763
2021,HIGHLAND HOSPITAL,ALAMEDA,BASIC,ED_Admit,10567
2021,HIGHLAND HOSPITAL,ALAMEDA,BASIC,ED_Visit,64069
2022,HIGHLAND HOSPITAL,ALAMEDA,BASIC,ED_Admit,10805
2022,HIGHLAND HOSPITAL,ALAMEDA,BASIC,ED_Visit,66095
2023,HIGHLAND HOSPITAL,ALAMEDA,BASIC,ED_Visit,69248
2023,HIGHLAND HOSPITAL,ALAMEDA,BASIC,ED_Admit,11130
2014,KAISER FOUNDATION HOSPITAL - FREMONT,ALAMEDA,BASIC,ED_Admit,1274
2014,KAISER FOUNDATION HOSPITAL - FREMONT,ALAMEDA,BASIC,ED_Visit,15582
2015,KAISER FOUNDATION HOSPITAL - FREMONT,ALAMEDA,BASIC,ED_Admit,2721
2015,KAISER FOUNDATION HOSPITAL - FREMONT,ALAMEDA,BASIC,ED_Visit,34515
2016,KAISER FOUNDATION HOSPITAL - FREMONT,ALAMEDA,BASIC,ED_Admit,2787
2016,KAISER FOUNDATION HOSPITAL - FREMONT,ALAMEDA,BASIC,ED_Visit,34285
2017,KAISER FOUNDATION HOSPITAL - FREMONT,ALAMEDA,BASIC,ED_Admit,2729
2017,KAISER FOUNDATION HOSPITAL - FREMONT,ALAMEDA,BASIC,ED_Visit,35994
2018,KAISER FOUNDATION HOSPITAL - FREMONT,ALAMEDA,BASIC,ED_Admit,3097
2018,KAISER FOUNDATION HOSPITAL - FREMONT,ALAMEDA,BASIC,ED_Visit,36878
2019,KAISER FOUNDATION HOSPITAL - FREMONT,ALAMEDA,BASIC,ED_Admit,3084
2019,KAISER FOUNDATION HOSPITAL - FREMONT,ALAMEDA,BASIC,ED_Visit,38249
2020,KAISER FOUNDATION HOSPITAL - FREMONT,ALAMEDA,BASIC,ED_Admit,3347
2020,KAISER FOUNDATION HOSPITAL - FREMONT,ALAMEDA,BASIC,ED_Visit,27215
2021,KAISER FOUNDATION HOSPITAL - FREMONT,ALAMEDA,BASIC,ED_Admit,3827
2021,KAISER FOUNDATION HOSPITAL - FREMONT,ALAMEDA,BASIC,ED_Visit,32627
2022,KAISER FOUNDATION HOSPITAL - FREMONT,ALAMEDA,BASIC,ED_Admit,4064
2022,KAISER FOUNDATION HOSPITAL - FREMONT,ALAMEDA,BASIC,ED_Visit,38960
2023,KAISER FOUNDATION HOSPITAL - FREMONT,ALAMEDA,BASIC,ED_Visit,41817
2023,KAISER FOUNDATION HOSPITAL - FREMONT,ALAMEDA,BASIC,ED_Admit,4018
2012,KAISER FOUNDATION HOSPITAL - HAYWARD/FREMONT,ALAMEDA,BASIC,ED_Admit,8173
2012,KAISER FOUNDATION HOSPITAL - HAYWARD/FREMONT,ALAMEDA,BASIC,ED_Visit,68854
2013,KAISER FOUNDATION HOSPITAL - HAYWARD/FREMONT,ALAMEDA,BASIC,ED_Admit,7085
2013,KAISER FOUNDATION HOSPITAL - HAYWARD/FREMONT,ALAMEDA,BASIC,ED_Visit,72053
2014,KAISER FOUNDATION HOSPITAL - HAYWARD/FREMONT,ALAMEDA,BASIC,ED_Admit,3160
2014,KAISER FOUNDATION HOSPITAL - HAYWARD/FREMONT,ALAMEDA,BASIC,ED_Visit,34711
2012,KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS,ALAMEDA,BASIC,ED_Admit,8360
2012,KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS,ALAMEDA,BASIC,ED_Visit,92021
2013,KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS,ALAMEDA,BASIC,ED_Admit,8587
2013,KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS,ALAMEDA,BASIC,ED_Visit,85460
2014,KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS,ALAMEDA,BASIC,ED_Admit,4480
2014,KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS,ALAMEDA,BASIC,ED_Visit,44904
2014,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,ALAMEDA,BASIC,ED_Admit,4630
2014,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,ALAMEDA,BASIC,ED_Visit,45673
2015,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,ALAMEDA,BASIC,ED_Admit,9862
2015,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,ALAMEDA,BASIC,ED_Visit,105134
2016,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,ALAMEDA,BASIC,ED_Admit,10597
2016,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,ALAMEDA,BASIC,ED_Visit,113325
2017,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,ALAMEDA,BASIC,ED_Admit,10991
2017,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,ALAMEDA,BASIC,ED_Visit,116124
2018,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,ALAMEDA,BASIC,ED_Admit,10693
2018,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,ALAMEDA,BASIC,ED_Visit,117567
2019,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,ALAMEDA,BASIC,ED_Admit,11669
2019,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,ALAMEDA,BASIC,ED_Visit,121399
2020,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,ALAMEDA,BASIC,ED_Admit,11196
2020,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,ALAMEDA,BASIC,ED_Visit,90517
2021,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,ALAMEDA,BASIC,ED_Admit,12236
2021,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,ALAMEDA,BASIC,ED_Visit,101906
2022,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,ALAMEDA,BASIC,ED_Admit,12023
2022,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,ALAMEDA,BASIC,ED_Visit,120088
2023,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,ALAMEDA,BASIC,ED_Visit,128660
2023,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,ALAMEDA,BASIC,ED_Admit,12058
2014,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,ALAMEDA,BASIC,ED_Admit,2377
2014,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,ALAMEDA,BASIC,ED_Visit,27125
2015,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,ALAMEDA,BASIC,ED_Admit,4350
2015,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,ALAMEDA,BASIC,ED_Visit,55395
2016,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,ALAMEDA,BASIC,ED_Admit,4776
2016,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,ALAMEDA,BASIC,ED_Visit,60271
2017,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,ALAMEDA,BASIC,ED_Admit,4872
2017,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,ALAMEDA,BASIC,ED_Visit,64008
2018,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,ALAMEDA,BASIC,ED_Admit,5242
2018,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,ALAMEDA,BASIC,ED_Visit,67678
2019,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,ALAMEDA,BASIC,ED_Admit,5539
2019,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,ALAMEDA,BASIC,ED_Visit,70730
2020,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,ALAMEDA,BASIC,ED_Admit,5376
2020,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,ALAMEDA,BASIC,ED_Visit,52165
2021,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,ALAMEDA,BASIC,ED_Admit,5283
2021,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,ALAMEDA,BASIC,ED_Visit,59463
2022,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,ALAMEDA,BASIC,ED_Admit,6179
2022,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,ALAMEDA,BASIC,ED_Visit,69343
2023,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,ALAMEDA,BASIC,ED_Visit,72125
2023,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,ALAMEDA,BASIC,ED_Admit,6198
2012,MPI CHEMICAL DEPENDENCY RECOVERY HOSPITAL,ALAMEDA,,ED_Admit,4
2012,MPI CHEMICAL DEPENDENCY RECOVERY HOSPITAL,ALAMEDA,,ED_Visit,
2012,SAN LEANDRO HOSPITAL,ALAMEDA,BASIC,ED_Admit,3104
2012,SAN LEANDRO HOSPITAL,ALAMEDA,BASIC,ED_Visit,23018
2013,SAN LEANDRO HOSPITAL,ALAMEDA,BASIC,ED_Admit,2634
2013,SAN LEANDRO HOSPITAL,ALAMEDA,BASIC,ED_Visit,23191
2014,SAN LEANDRO HOSPITAL,ALAMEDA,BASIC,ED_Admit,2396
2014,SAN LEANDRO HOSPITAL,ALAMEDA,BASIC,ED_Visit,27328
2015,SAN LEANDRO HOSPITAL,ALAMEDA,BASIC,ED_Admit,2738
2015,SAN LEANDRO HOSPITAL,ALAMEDA,BASIC,ED_Visit,31045
2016,SAN LEANDRO HOSPITAL,ALAMEDA,BASIC,ED_Admit,2820
2016,SAN LEANDRO HOSPITAL,ALAMEDA,BASIC,ED_Visit,31343
2017,SAN LEANDRO HOSPITAL,ALAMEDA,BASIC,ED_Admit,2787
2017,SAN LEANDRO HOSPITAL,ALAMEDA,BASIC,ED_Visit,30639
2018,SAN LEANDRO HOSPITAL,ALAMEDA,BASIC,ED_Admit,2283
2018,SAN LEANDRO HOSPITAL,ALAMEDA,BASIC,ED_Visit,27594
2019,SAN LEANDRO HOSPITAL,ALAMEDA,BASIC,ED_Admit,1496
2019,SAN LEANDRO HOSPITAL,ALAMEDA,BASIC,ED_Visit,15686
2012,ST. ROSE HOSPITAL,ALAMEDA,BASIC,ED_Admit,4710
2012,ST. ROSE HOSPITAL,ALAMEDA,BASIC,ED_Visit,30479
2013,ST. ROSE HOSPITAL,ALAMEDA,BASIC,ED_Admit,4579
2013,ST. ROSE HOSPITAL,ALAMEDA,BASIC,ED_Visit,30189
2014,ST. ROSE HOSPITAL,ALAMEDA,BASIC,ED_Admit,4258
2014,ST. ROSE HOSPITAL,ALAMEDA,BASIC,ED_Visit,32037
2015,ST. ROSE HOSPITAL,ALAMEDA,BASIC,ED_Admit,4463
2015,ST. ROSE HOSPITAL,ALAMEDA,BASIC,ED_Visit,33076
2016,ST. ROSE HOSPITAL,ALAMEDA,BASIC,ED_Admit,4056
2016,ST. ROSE HOSPITAL,ALAMEDA,BASIC,ED_Visit,31833
2017,ST. ROSE HOSPITAL,ALAMEDA,BASIC,ED_Admit,3738
2017,ST. ROSE HOSPITAL,ALAMEDA,BASIC,ED_Visit,30315
2018,ST. ROSE HOSPITAL,ALAMEDA,BASIC,ED_Admit,3813
2018,ST. ROSE HOSPITAL,ALAMEDA,BASIC,ED_Visit,29675
2019,ST. ROSE HOSPITAL,ALAMEDA,BASIC,ED_Admit,3580
2019,ST. ROSE HOSPITAL,ALAMEDA,BASIC,ED_Visit,29471
2020,ST. ROSE HOSPITAL,ALAMEDA,BASIC,ED_Admit,3112
2020,ST. ROSE HOSPITAL,ALAMEDA,BASIC,ED_Visit,18424
2021,ST. ROSE HOSPITAL,ALAMEDA,BASIC,ED_Admit,3145
2021,ST. ROSE HOSPITAL,ALAMEDA,BASIC,ED_Visit,17942
2022,ST. ROSE HOSPITAL,ALAMEDA,BASIC,ED_Admit,3260
2022,ST. ROSE HOSPITAL,ALAMEDA,BASIC,ED_Visit,20081
2023,ST. ROSE HOSPITAL,ALAMEDA,BASIC,ED_Visit,21007
2023,ST. ROSE HOSPITAL,ALAMEDA,BASIC,ED_Admit,2818
2012,STANFORD HEALTH CARE - VALLEYCARE,ALAMEDA,BASIC,ED_Admit,4038
2012,STANFORD HEALTH CARE - VALLEYCARE,ALAMEDA,BASIC,ED_Visit,24164
2013,STANFORD HEALTH CARE - VALLEYCARE,ALAMEDA,BASIC,ED_Admit,3884
2013,STANFORD HEALTH CARE - VALLEYCARE,ALAMEDA,BASIC,ED_Visit,24380
2014,STANFORD HEALTH CARE - VALLEYCARE,ALAMEDA,BASIC,ED_Admit,3701
2014,STANFORD HEALTH CARE - VALLEYCARE,ALAMEDA,BASIC,ED_Visit,25123
2015,STANFORD HEALTH CARE - VALLEYCARE,ALAMEDA,BASIC,ED_Admit,3750
2015,STANFORD HEALTH CARE - VALLEYCARE,ALAMEDA,BASIC,ED_Visit,26334
2016,STANFORD HEALTH CARE - VALLEYCARE,ALAMEDA,BASIC,ED_Admit,4051
2016,STANFORD HEALTH CARE - VALLEYCARE,ALAMEDA,BASIC,ED_Visit,27659
2017,STANFORD HEALTH CARE - VALLEYCARE,ALAMEDA,BASIC,ED_Admit,3799
2017,STANFORD HEALTH CARE - VALLEYCARE,ALAMEDA,BASIC,ED_Visit,28465
2018,STANFORD HEALTH CARE - VALLEYCARE,ALAMEDA,BASIC,ED_Admit,3773
2018,STANFORD HEALTH CARE - VALLEYCARE,ALAMEDA,BASIC,ED_Visit,29465
2019,STANFORD HEALTH CARE - VALLEYCARE,ALAMEDA,BASIC,ED_Admit,4059
2019,STANFORD HEALTH CARE - VALLEYCARE,ALAMEDA,BASIC,ED_Visit,27883
2020,STANFORD HEALTH CARE - VALLEYCARE,ALAMEDA,BASIC,ED_Admit,3667
2020,STANFORD HEALTH CARE - VALLEYCARE,ALAMEDA,BASIC,ED_Visit,21459
2021,STANFORD HEALTH CARE - VALLEYCARE,ALAMEDA,BASIC,ED_Admit,3775
2021,STANFORD HEALTH CARE - VALLEYCARE,ALAMEDA,BASIC,ED_Visit,25013
2022,STANFORD HEALTH CARE TRI-VALLEY,ALAMEDA,BASIC,ED_Admit,4280
2022,STANFORD HEALTH CARE TRI-VALLEY,ALAMEDA,BASIC,ED_Visit,28620
2023,STANFORD HEALTH CARE TRI-VALLEY,ALAMEDA,BASIC,ED_Visit,31496
2023,STANFORD HEALTH CARE TRI-VALLEY,ALAMEDA,BASIC,ED_Admit,4595
2018,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,ALAMEDA,BASIC,ED_Admit,5250
2018,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,ALAMEDA,BASIC,ED_Visit,37289
2019,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,ALAMEDA,BASIC,ED_Admit,6014
2019,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,ALAMEDA,BASIC,ED_Visit,36656
2020,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,ALAMEDA,BASIC,ED_Admit,4457
