ICDCMCode,DiagnosisDesc,TotalDiag
A31.0,PULMONARY MYCOBACTERIAL INFECTION,291
A31.1,CUTANEOUS MYCOBACTERIAL INFECTION,6
A31.2,DISSEM MYCOBACTERIUM AVIUM-INTRACELLULARE COMPLEX (DMAC),36
A31.8,OTHER MYCOBACTERIAL INFECTIONS,15
A31.9,"MYCOBACTERIAL INFECTION, UNSPECIFIED",70
A32.11,LISTERIAL MENINGITIS,1
A32.12,LISTERIAL MENINGOENCEPHALITIS,1
A32.7,LISTERIAL SEPSIS,1
A35.,OTHER TETANUS,81
A36.0,PHARYNGEAL DIPHTHERIA,1
A36.1,NASOPHARYNGEAL DIPHTHERIA,1
A36.3,CUTANEOUS DIPHTHERIA,1
A36.89,OTHER DIPHTHERITIC COMPLICATIONS,1
A36.9,"DIPHTHERIA, UNSPECIFIED",6
A37.00,WHOOPING COUGH DUE TO BORDETELLA PERTUSSIS WITHOUT PNEUMONIA,82
A37.01,WHOOPING COUGH DUE TO BORDETELLA PERTUSSIS WITH PNEUMONIA,2
A37.10,WHOOPING COUGH DUE TO BORDETELLA PARAPERTUSSIS W/O PNEUMONIA,356
A37.11,WHOOPING COUGH DUE TO BORDETELLA PARAPERTUSSIS W PNEUMONIA,6
A37.80,WHOOPING COUGH DUE TO OTHER BORDETELLA SPECIES W/O PNEUMONIA,15
A37.81,WHOOPING COUGH DUE TO OTH BORDETELLA SPECIES WITH PNEUMONIA,1
A37.90,"WHOOPING COUGH, UNSPECIFIED SPECIES WITHOUT PNEUMONIA",213
A37.91,"WHOOPING COUGH, UNSPECIFIED SPECIES WITH PNEUMONIA",7
A38.0,SCARLET FEVER WITH OTITIS MEDIA,19
A38.1,SCARLET FEVER WITH MYOCARDITIS,1
A38.8,SCARLET FEVER WITH OTHER COMPLICATIONS,66
A38.9,"SCARLET FEVER, UNCOMPLICATED",1355
A39.0,MENINGOCOCCAL MENINGITIS,4
A39.1,WATERHOUSE-FRIDERICHSEN SYNDROME,3
A39.4,"MENINGOCOCCEMIA, UNSPECIFIED",2
A39.81,MENINGOCOCCAL ENCEPHALITIS,1
A40.0,"SEPSIS DUE TO STREPTOCOCCUS, GROUP A",29
A40.1,"SEPSIS DUE TO STREPTOCOCCUS, GROUP B",19
A40.3,SEPSIS DUE TO STREPTOCOCCUS PNEUMONIAE,37
A40.8,OTHER STREPTOCOCCAL SEPSIS,13
A40.9,"STREPTOCOCCAL SEPSIS, UNSPECIFIED",20
A41.01,SEPSIS DUE TO METHICILLIN SUSCEPTIBLE STAPHYLOCOCCUS AUREUS,41
A41.02,SEPSIS DUE TO METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS,55
A41.1,SEPSIS DUE TO OTHER SPECIFIED STAPHYLOCOCCUS,33
A41.2,SEPSIS DUE TO UNSPECIFIED STAPHYLOCOCCUS,17
A41.3,SEPSIS DUE TO HEMOPHILUS INFLUENZAE,7
A41.4,SEPSIS DUE TO ANAEROBES,18
A41.50,"GRAM-NEGATIVE SEPSIS, UNSPECIFIED",63
A41.51,SEPSIS DUE TO ESCHERICHIA COLI [E. COLI],710
A41.52,SEPSIS DUE TO PSEUDOMONAS,48
A41.53,SEPSIS DUE TO SERRATIA,5
A41.59,OTHER GRAM-NEGATIVE SEPSIS,114
A41.81,SEPSIS DUE TO ENTEROCOCCUS,64
A41.89,OTHER SPECIFIED SEPSIS,1346
A41.9,"SEPSIS, UNSPECIFIED ORGANISM",30230
A42.0,PULMONARY ACTINOMYCOSIS,3
A42.1,ABDOMINAL ACTINOMYCOSIS,3
A42.2,CERVICOFACIAL ACTINOMYCOSIS,1
A42.89,OTHER FORMS OF ACTINOMYCOSIS,1
A42.9,"ACTINOMYCOSIS, UNSPECIFIED",2
A43.0,PULMONARY NOCARDIOSIS,13
A43.1,CUTANEOUS NOCARDIOSIS,1
A43.8,OTHER FORMS OF NOCARDIOSIS,1
A43.9,"NOCARDIOSIS, UNSPECIFIED",3
A44.0,SYSTEMIC BARTONELLOSIS,2
A44.9,"BARTONELLOSIS, UNSPECIFIED",9
A46.,ERYSIPELAS,572
A48.0,GAS GANGRENE,58
A48.1,LEGIONNAIRES' DISEASE,18
A48.3,TOXIC SHOCK SYNDROME,11
A48.51,INFANT BOTULISM,4
A48.8,OTHER SPECIFIED BACTERIAL DISEASES,57
A49.01,"METHICILLIN SUSCEP STAPH INFECTION, UNSP SITE",195
A49.02,"METHICILLIN RESIS STAPH INFECTION, UNSP SITE",824
A49.1,"STREPTOCOCCAL INFECTION, UNSPECIFIED SITE",249
A49.2,"HEMOPHILUS INFLUENZAE INFECTION, UNSPECIFIED SITE",12
A49.3,"MYCOPLASMA INFECTION, UNSPECIFIED SITE",33
A49.8,OTHER BACTERIAL INFECTIONS OF UNSPECIFIED SITE,283
A49.9,"BACTERIAL INFECTION, UNSPECIFIED",771
A50.02,EARLY CONGENITAL SYPHILITIC OSTEOCHONDROPATHY,8
A50.1,"EARLY CONGENITAL SYPHILIS, LATENT",1
A50.2,"EARLY CONGENITAL SYPHILIS, UNSPECIFIED",14
A50.40,"LATE CONGENITAL NEUROSYPHILIS, UNSPECIFIED",1
A50.9,"CONGENITAL SYPHILIS, UNSPECIFIED",45
A51.0,PRIMARY GENITAL SYPHILIS,269
A51.2,PRIMARY SYPHILIS OF OTHER SITES,7
A51.31,CONDYLOMA LATUM,31
A51.39,OTHER SECONDARY SYPHILIS OF SKIN,46
A51.43,SECONDARY SYPHILITIC OCULOPATHY,8
A51.45,SECONDARY SYPHILITIC HEPATITIS,1
A51.49,OTHER SECONDARY SYPHILITIC CONDITIONS,161
A51.5,"EARLY SYPHILIS, LATENT",35
A51.9,"EARLY SYPHILIS, UNSPECIFIED",51
A52.01,SYPHILITIC ANEURYSM OF AORTA,3
A52.03,SYPHILITIC ENDOCARDITIS,2
A52.10,"SYMPTOMATIC NEUROSYPHILIS, UNSPECIFIED",1
A52.11,TABES DORSALIS,2
A52.16,CHARCOT'S ARTHROPATHY (TABETIC),79
A52.17,GENERAL PARESIS,11
A52.19,OTHER SYMPTOMATIC NEUROSYPHILIS,9
A52.3,"NEUROSYPHILIS, UNSPECIFIED",127
A52.71,LATE SYPHILITIC OCULOPATHY,34
A52.73,SYMPTOMATIC LATE SYPHILIS OF OTHER RESPIRATORY ORGANS,1
A52.76,OTHER GENITOURINARY SYMPTOMATIC LATE SYPHILIS,3
A52.79,OTHER SYMPTOMATIC LATE SYPHILIS,7
A52.8,"LATE SYPHILIS, LATENT",96
A52.9,"LATE SYPHILIS, UNSPECIFIED",44
A53.0,"LATENT SYPHILIS, UNSPECIFIED AS EARLY OR LATE",691
A53.9,"SYPHILIS, UNSPECIFIED",4362
A54.00,"GONOCOCCAL INFECTION OF LOWER GENITOURINARY TRACT, UNSP",46
A54.01,"GONOCOCCAL CYSTITIS AND URETHRITIS, UNSPECIFIED",163
A54.02,"GONOCOCCAL VULVOVAGINITIS, UNSPECIFIED",63
A54.03,"GONOCOCCAL CERVICITIS, UNSPECIFIED",11
A54.09,OTHER GONOCOCCAL INFECTION OF LOWER GENITOURINARY TRACT,88
A54.1,GONOCL INFCT OF LOWER GU TRACT W PERIURETH AND ACC GLND ABCS,1
A54.21,GONOCOCCAL INFECTION OF KIDNEY AND URETER,1
A54.22,GONOCOCCAL PROSTATITIS,1
A54.23,GONOCOCCAL INFECTION OF OTHER MALE GENITAL ORGANS,29
A54.24,GONOCOCCAL FEMALE PELVIC INFLAMMATORY DISEASE,12
A54.29,OTHER GONOCOCCAL GENITOURINARY INFECTIONS,1
A54.31,GONOCOCCAL CONJUNCTIVITIS,11
A54.33,GONOCOCCAL KERATITIS,1
A54.40,"GONOCOCCAL INFECTION OF MUSCULOSKELETAL SYSTEM, UNSPECIFIED",1
A54.42,GONOCOCCAL ARTHRITIS,16
A54.49,GONOCOCCAL INFECTION OF OTHER MUSCULOSKELETAL TISSUE,1
A54.5,GONOCOCCAL PHARYNGITIS,50
A54.6,GONOCOCCAL INFECTION OF ANUS AND RECTUM,16
A54.83,GONOCOCCAL HEART INFECTION,1
A54.85,GONOCOCCAL PERITONITIS,1
A54.86,GONOCOCCAL SEPSIS,6
A54.89,OTHER GONOCOCCAL INFECTIONS,13
A54.9,"GONOCOCCAL INFECTION, UNSPECIFIED",1978
A55.,CHLAMYDIAL LYMPHOGRANULOMA (VENEREUM),47
A56.00,"CHLAMYDIAL INFECTION OF LOWER GENITOURINARY TRACT, UNSP",51
A56.01,CHLAMYDIAL CYSTITIS AND URETHRITIS,177
A56.02,CHLAMYDIAL VULVOVAGINITIS,148
A56.09,OTHER CHLAMYDIAL INFECTION OF LOWER GENITOURINARY TRACT,38
A56.11,CHLAMYDIAL FEMALE PELVIC INFLAMMATORY DISEASE,45
A56.19,OTHER CHLAMYDIAL GENITOURINARY INFECTION,50
A56.2,"CHLAMYDIAL INFECTION OF GENITOURINARY TRACT, UNSPECIFIED",139
A56.3,CHLAMYDIAL INFECTION OF ANUS AND RECTUM,16
A56.4,CHLAMYDIAL INFECTION OF PHARYNX,10
A56.8,SEXUALLY TRANSMITTED CHLAMYDIAL INFECTION OF OTHER SITES,261
A57.,CHANCROID,79
A58.,GRANULOMA INGUINALE,8
A59.00,"UROGENITAL TRICHOMONIASIS, UNSPECIFIED",154
A59.01,TRICHOMONAL VULVOVAGINITIS,1059
A59.03,TRICHOMONAL CYSTITIS AND URETHRITIS,42
A59.09,OTHER UROGENITAL TRICHOMONIASIS,75
A59.8,TRICHOMONIASIS OF OTHER SITES,24
A59.9,"TRICHOMONIASIS, UNSPECIFIED",1755
A60.00,"HERPESVIRAL INFECTION OF UROGENITAL SYSTEM, UNSPECIFIED",1639
A60.01,HERPESVIRAL INFECTION OF PENIS,372
A60.02,HERPESVIRAL INFECTION OF OTHER MALE GENITAL ORGANS,372
A60.03,HERPESVIRAL CERVICITIS,5
A60.04,HERPESVIRAL VULVOVAGINITIS,546
A60.09,HERPESVIRAL INFECTION OF OTHER UROGENITAL TRACT,563
A60.1,HERPESVIRAL INFECTION OF PERIANAL SKIN AND RECTUM,66
A60.9,"ANOGENITAL HERPESVIRAL INFECTION, UNSPECIFIED",97
A63.0,ANOGENITAL (VENEREAL) WARTS,1052
A63.8,OTHER SPECIFIED PREDOMINANTLY SEXUALLY TRANSMITTED DISEASES,92
A64.,UNSPECIFIED SEXUALLY TRANSMITTED DISEASE,3541
A65.,NONVENEREAL SYPHILIS,4
A66.2,OTHER EARLY SKIN LESIONS OF YAWS,1
A66.3,HYPERKERATOSIS OF YAWS,3
A66.6,BONE AND JOINT LESIONS OF YAWS,1
A67.0,PRIMARY LESIONS OF PINTA,1
A67.1,INTERMEDIATE LESIONS OF PINTA,2
A68.0,LOUSE-BORNE RELAPSING FEVER,2
A68.1,TICK-BORNE RELAPSING FEVER,1
A68.9,"RELAPSING FEVER, UNSPECIFIED",52
A69.0,NECROTIZING ULCERATIVE STOMATITIS,6
A69.1,OTHER VINCENT'S INFECTIONS,155
A69.20,"LYME DISEASE, UNSPECIFIED",352
A69.22,OTHER NEUROLOGIC DISORDERS IN LYME DISEASE,3
A69.23,ARTHRITIS DUE TO LYME DISEASE,7
A69.29,OTHER CONDITIONS ASSOCIATED WITH LYME DISEASE,7
A69.8,OTHER SPECIFIED SPIROCHETAL INFECTIONS,1
A70.,CHLAMYDIA PSITTACI INFECTIONS,4
A71.1,ACTIVE STAGE OF TRACHOMA,1
A71.9,"TRACHOMA, UNSPECIFIED",1
A74.0,CHLAMYDIAL CONJUNCTIVITIS,10
A74.81,CHLAMYDIAL PERITONITIS,8
A74.89,OTHER CHLAMYDIAL DISEASES,47
A74.9,"CHLAMYDIAL INFECTION, UNSPECIFIED",2961
A75.0,EPIDEMIC LOUSE-BORNE TYPHUS FEVER D/T RICKETTSIA PROWAZEKII,1
A75.2,TYPHUS FEVER DUE TO RICKETTSIA TYPHI,3
A75.3,TYPHUS FEVER DUE TO RICKETTSIA TSUTSUGAMUSHI,3
A75.9,"TYPHUS FEVER, UNSPECIFIED",4
A77.0,SPOTTED FEVER DUE TO RICKETTSIA RICKETTSII,8
A77.8,OTHER SPOTTED FEVERS,1
A77.9,"SPOTTED FEVER, UNSPECIFIED",2
A78.,Q FEVER,18
A79.0,TRENCH FEVER,1
A79.82,ANAPLASMOSIS [A. PHAGOCYTOPHILUM],3
A79.89,OTHER SPECIFIED RICKETTSIOSES,1
A79.9,"RICKETTSIOSIS, UNSPECIFIED",5
A80.30,"ACUTE PARALYTIC POLIOMYELITIS, UNSPECIFIED",1
A80.4,ACUTE NONPARALYTIC POLIOMYELITIS,1
A80.9,"ACUTE POLIOMYELITIS, UNSPECIFIED",77
A81.00,"CREUTZFELDT-JAKOB DISEASE, UNSPECIFIED",8
A81.09,OTHER CREUTZFELDT-JAKOB DISEASE,2
A81.2,PROGRESSIVE MULTIFOCAL LEUKOENCEPHALOPATHY,13
A81.82,GERSTMANN-STRAUSSLER-SCHEINKER SYNDROME,2
A81.89,OTHER ATYPICAL VIRUS INFECTIONS OF CENTRAL NERVOUS SYSTEM,1
A81.9,"ATYPICAL VIRUS INFECTION OF CENTRAL NERVOUS SYSTEM, UNSP",4
A82.9,"RABIES, UNSPECIFIED",39
A83.3,ST LOUIS ENCEPHALITIS,1
A84.9,"TICK-BORNE VIRAL ENCEPHALITIS, UNSPECIFIED",1
A85.0,ENTEROVIRAL ENCEPHALITIS,1
A85.8,OTHER SPECIFIED VIRAL ENCEPHALITIS,5
A86.,UNSPECIFIED VIRAL ENCEPHALITIS,21
A87.0,ENTEROVIRAL MENINGITIS,12
A87.8,OTHER VIRAL MENINGITIS,1
A87.9,"VIRAL MENINGITIS, UNSPECIFIED",131
A88.0,ENTEROVIRAL EXANTHEMATOUS FEVER [BOSTON EXANTHEM],26
A88.1,EPIDEMIC VERTIGO,100
A88.8,OTHER SPECIFIED VIRAL INFECTIONS OF CENTRAL NERVOUS SYSTEM,4
A89.,UNSPECIFIED VIRAL INFECTION OF CENTRAL NERVOUS SYSTEM,2
A90.,DENGUE FEVER [CLASSICAL DENGUE],39
A91.,DENGUE HEMORRHAGIC FEVER,1
A92.0,CHIKUNGUNYA VIRUS DISEASE,7
A92.30,"WEST NILE VIRUS INFECTION, UNSPECIFIED",16
A92.31,WEST NILE VIRUS INFECTION WITH ENCEPHALITIS,9
A92.32,WEST NILE VIRUS INFECTION WITH OTH NEUROLOGIC MANIFESTATION,3
A92.4,RIFT VALLEY FEVER,5
A92.5,ZIKA VIRUS DISEASE,1
A92.8,OTHER SPECIFIED MOSQUITO-BORNE VIRAL FEVERS,1
A93.2,COLORADO TICK FEVER,1
A93.8,OTHER SPECIFIED ARTHROPOD-BORNE VIRAL FEVERS,13
A94.,UNSPECIFIED ARTHROPOD-BORNE VIRAL FEVER,2
A95.0,SYLVATIC YELLOW FEVER,1
A98.4,EBOLA VIRUS DISEASE,1
A99.,UNSPECIFIED VIRAL HEMORRHAGIC FEVER,2
B00.0,ECZEMA HERPETICUM,182
B00.1,HERPESVIRAL VESICULAR DERMATITIS,2547
B00.2,HERPESVIRAL GINGIVOSTOMATITIS AND PHARYNGOTONSILLITIS,1020
B00.3,HERPESVIRAL MENINGITIS,19
B00.4,HERPESVIRAL ENCEPHALITIS,22
B00.50,"HERPESVIRAL OCULAR DISEASE, UNSPECIFIED",48
B00.51,HERPESVIRAL IRIDOCYCLITIS,12
B00.52,HERPESVIRAL KERATITIS,316
B00.53,HERPESVIRAL CONJUNCTIVITIS,24
B00.59,OTHER HERPESVIRAL DISEASE OF EYE,60
B00.7,DISSEMINATED HERPESVIRAL DISEASE,8
B00.81,HERPESVIRAL HEPATITIS,1
B00.82,HERPES SIMPLEX MYELITIS,5
B00.89,OTHER HERPESVIRAL INFECTION,477
B00.9,"HERPESVIRAL INFECTION, UNSPECIFIED",2943
B01.11,VARICELLA ENCEPHALITIS AND ENCEPHALOMYELITIS,1
B01.89,OTHER VARICELLA COMPLICATIONS,34
B01.9,VARICELLA WITHOUT COMPLICATION,897
B02.0,ZOSTER ENCEPHALITIS,6
B02.1,ZOSTER MENINGITIS,23
B02.21,POSTHERPETIC GENICULATE GANGLIONITIS,487
B02.22,POSTHERPETIC TRIGEMINAL NEURALGIA,177
B02.23,POSTHERPETIC POLYNEUROPATHY,170
B02.24,POSTHERPETIC MYELITIS,1
B02.29,OTHER POSTHERPETIC NERVOUS SYSTEM INVOLVEMENT,2885
B02.30,"ZOSTER OCULAR DISEASE, UNSPECIFIED",873
B02.31,ZOSTER CONJUNCTIVITIS,109
B02.32,ZOSTER IRIDOCYCLITIS,18
B02.33,ZOSTER KERATITIS,56
B02.34,ZOSTER SCLERITIS,3
B02.39,OTHER HERPES ZOSTER EYE DISEASE,229
B02.7,DISSEMINATED ZOSTER,52
B02.8,ZOSTER WITH OTHER COMPLICATIONS,696
B02.9,ZOSTER WITHOUT COMPLICATIONS,19525
B04.,MONKEYPOX,53
B05.2,MEASLES COMPLICATED BY PNEUMONIA,1
B05.9,MEASLES WITHOUT COMPLICATION,22
B06.89,OTHER RUBELLA COMPLICATIONS,2
B06.9,RUBELLA WITHOUT COMPLICATION,11
B07.0,PLANTAR WART,770
B07.8,OTHER VIRAL WARTS,188
B07.9,"VIRAL WART, UNSPECIFIED",813
B08.02,ORF VIRUS DISEASE,6
B08.04,"PARAVACCINIA, UNSPECIFIED",1
B08.09,OTHER ORTHOPOXVIRUS INFECTIONS,2
B08.1,MOLLUSCUM CONTAGIOSUM,1184
B08.20,"EXANTHEMA SUBITUM [SIXTH DISEASE], UNSPECIFIED",279
B08.21,EXANTHEMA SUBITUM [SIXTH DISEASE] DUE TO HUMAN HERPESVIRUS 6,9
B08.3,ERYTHEMA INFECTIOSUM [FIFTH DISEASE],273
B08.4,ENTEROVIRAL VESICULAR STOMATITIS WITH EXANTHEM,12105
B08.5,ENTEROVIRAL VESICULAR PHARYNGITIS,5738
B08.61,BOVINE STOMATITIS,1
B08.8,OTH VIRAL INFECTIONS WITH SKIN AND MUCOUS MEMBRANE LESIONS,227
B09.,UNSP VIRAL INFECTION WITH SKIN AND MUCOUS MEMBRANE LESIONS,10131
B10.01,HUMAN HERPESVIRUS 6 ENCEPHALITIS,1
B10.09,OTHER HUMAN HERPESVIRUS ENCEPHALITIS,1
B10.81,HUMAN HERPESVIRUS 6 INFECTION,2
B10.89,OTHER HUMAN HERPESVIRUS INFECTION,5
B15.9,HEPATITIS A WITHOUT HEPATIC COMA,218
B16.0,ACUTE HEPATITIS B WITH DELTA-AGENT WITH HEPATIC COMA,1
B16.9,ACUTE HEPATITIS B W/O DELTA-AGENT AND WITHOUT HEPATIC COMA,13
B17.0,ACUTE DELTA-(SUPER) INFECTION OF HEPATITIS B CARRIER,2
B17.10,ACUTE HEPATITIS C WITHOUT HEPATIC COMA,85
B17.11,ACUTE HEPATITIS C WITH HEPATIC COMA,1
B17.2,ACUTE HEPATITIS E,3
B17.8,OTHER SPECIFIED ACUTE VIRAL HEPATITIS,36
B17.9,"ACUTE VIRAL HEPATITIS, UNSPECIFIED",389
B18.0,CHRONIC VIRAL HEPATITIS B WITH DELTA-AGENT,9
B18.1,CHRONIC VIRAL HEPATITIS B WITHOUT DELTA-AGENT,2808
B18.2,CHRONIC VIRAL HEPATITIS C,6747
B18.8,OTHER CHRONIC VIRAL HEPATITIS,8
B18.9,"CHRONIC VIRAL HEPATITIS, UNSPECIFIED",43
B19.0,UNSPECIFIED VIRAL HEPATITIS WITH HEPATIC COMA,2
B19.10,UNSPECIFIED VIRAL HEPATITIS B WITHOUT HEPATIC COMA,1136
B19.11,UNSPECIFIED VIRAL HEPATITIS B WITH HEPATIC COMA,3
B19.20,UNSPECIFIED VIRAL HEPATITIS C WITHOUT HEPATIC COMA,9460
B19.21,UNSPECIFIED VIRAL HEPATITIS C WITH HEPATIC COMA,11
B19.9,UNSPECIFIED VIRAL HEPATITIS WITHOUT HEPATIC COMA,98
B20.,HUMAN IMMUNODEFICIENCY VIRUS [HIV] DISEASE,10001
B25.1,CYTOMEGALOVIRAL HEPATITIS,1
B25.8,OTHER CYTOMEGALOVIRAL DISEASES,20
B25.9,"CYTOMEGALOVIRAL DISEASE, UNSPECIFIED",79
B26.0,MUMPS ORCHITIS,2
B26.85,MUMPS ARTHRITIS,1
B26.89,OTHER MUMPS COMPLICATIONS,5
B26.9,MUMPS WITHOUT COMPLICATION,42
B27.00,GAMMAHERPESVIRAL MONONUCLEOSIS WITHOUT COMPLICATION,197
B27.09,GAMMAHERPESVIRAL MONONUCLEOSIS WITH OTHER COMPLICATIONS,31
B27.10,CYTOMEGALOVIRAL MONONUCLEOSIS WITHOUT COMPLICATIONS,27
B27.19,CYTOMEGALOVIRAL MONONUCLEOSIS WITH OTHER COMPLICATION,3
B27.80,OTHER INFECTIOUS MONONUCLEOSIS WITHOUT COMPLICATION,64
