ICDCMCode,ExtCauseDesc,TotalEcm
V00.138S,"OTHER SKATEBOARD ACCIDENT, SEQUELA",1
V00.141A,"FALL FROM SCOOTER (NONMOTORIZED), INITIAL ENCOUNTER",4291
V00.141D,"FALL FROM SCOOTER (NONMOTORIZED), SUBSEQUENT ENCOUNTER",63
V00.141S,"FALL FROM SCOOTER (NONMOTORIZED), SEQUELA",3
V00.142A,"SCOOTER (NONMOTORIZED) COLLIDING W STATIONARY OBJECT, INIT",92
V00.142D,"SCOOTER (NONMOTORIZED) COLLIDING W STATIONARY OBJECT, SUBS",1
V00.148A,"OTHER SCOOTER (NONMOTORIZED) ACCIDENT, INITIAL ENCOUNTER",314
V00.148D,"OTHER SCOOTER (NONMOTORIZED) ACCIDENT, SUBSEQUENT ENCOUNTER",14
V00.151A,"FALL FROM HEELIES, INITIAL ENCOUNTER",16
V00.151D,"FALL FROM HEELIES, SUBSEQUENT ENCOUNTER",1
V00.158A,"OTHER HEELIES ACCIDENT, INITIAL ENCOUNTER",2
V00.181A,"FALL FROM OTH ROLLING-TYPE PEDESTRIAN CONVEYANCE, INIT",274
V00.181D,"FALL FROM OTH ROLLING-TYPE PEDESTRIAN CONVEYANCE, SUBS",5
V00.181S,"FALL FROM OTHER ROLLING-TYPE PEDESTRIAN CONVEYANCE, SEQUELA",1
V00.182A,"PED ON OTH ROLL-TYPE PED CONVEY COLLID W STATNRY OBJ, INIT",2
V00.188A,"OTH ACCIDENT ON OTH ROLLING-TYPE PEDESTRIAN CONVEYANCE, INIT",11
V00.211A,"FALL FROM ICE-SKATES, INITIAL ENCOUNTER",986
V00.211D,"FALL FROM ICE-SKATES, SUBSEQUENT ENCOUNTER",17
V00.211S,"FALL FROM ICE-SKATES, SEQUELA",1
V00.218A,"OTHER ICE-SKATES ACCIDENT, INITIAL ENCOUNTER",36
V00.218S,"OTHER ICE-SKATES ACCIDENT, SEQUELA",1
V00.221A,"FALL FROM SLED, INITIAL ENCOUNTER",87
V00.221D,"FALL FROM SLED, SUBSEQUENT ENCOUNTER",2
V00.221S,"FALL FROM SLED, SEQUELA",1
V00.222A,"SLEDDER COLLIDING WITH STATIONARY OBJECT, INITIAL ENCOUNTER",31
V00.228A,"OTHER SLED ACCIDENT, INITIAL ENCOUNTER",39
V00.228D,"OTHER SLED ACCIDENT, SUBSEQUENT ENCOUNTER",1
V00.281A,"FALL FROM GLIDING-TYPE PEDESTRIAN CONVEYANCE, INIT ENCNTR",16
V00.311A,"FALL FROM SNOWBOARD, INITIAL ENCOUNTER",3577
V00.311D,"FALL FROM SNOWBOARD, SUBSEQUENT ENCOUNTER",27
V00.311S,"FALL FROM SNOWBOARD, SEQUELA",4
V00.312A,"SNOWBOARDER COLLIDING WITH STATIONARY OBJECT, INIT ENCNTR",38
V00.318A,"OTHER SNOWBOARD ACCIDENT, INITIAL ENCOUNTER",156
V00.318D,"OTHER SNOWBOARD ACCIDENT, SUBSEQUENT ENCOUNTER",8
V00.318S,"OTHER SNOWBOARD ACCIDENT, SEQUELA",1
V00.321A,"FALL FROM SNOW-SKIS, INITIAL ENCOUNTER",1864
V00.321D,"FALL FROM SNOW-SKIS, SUBSEQUENT ENCOUNTER",15
V00.321S,"FALL FROM SNOW-SKIS, SEQUELA",2
V00.322A,"SNOW-SKIER COLLIDING WITH STATIONARY OBJECT, INIT ENCNTR",27
V00.322D,"SNOW-SKIER COLLIDING WITH STATIONARY OBJECT, SUBS ENCNTR",1
V00.328A,"OTHER SNOW-SKI ACCIDENT, INITIAL ENCOUNTER",388
V00.328D,"OTHER SNOW-SKI ACCIDENT, SUBSEQUENT ENCOUNTER",3
V00.328S,"OTHER SNOW-SKI ACCIDENT, SEQUELA",3
V00.381A,"FALL FROM FLAT-BOTTOMED PEDESTRIAN CONVEYANCE, INIT ENCNTR",1
V00.811A,"FALL FROM MOVING WHEELCHAIR (POWERED), INITIAL ENCOUNTER",834
V00.811D,"FALL FROM MOVING WHEELCHAIR (POWERED), SUBSEQUENT ENCOUNTER",5
V00.811S,"FALL FROM MOVING WHEELCHAIR (POWERED), SEQUELA",1
V00.812A,"WHEELCHAIR (POWERED) COLLIDING W STATIONARY OBJECT, INIT",19
V00.818A,"OTHER ACCIDENT WITH WHEELCHAIR (POWERED), INITIAL ENCOUNTER",79
V00.821A,"FALL FROM BABY STROLLER, INITIAL ENCOUNTER",764
V00.821D,"FALL FROM BABY STROLLER, SUBSEQUENT ENCOUNTER",4
V00.822A,"BABY STROLLER COLLIDING WITH STATIONARY OBJECT, INIT",1
V00.828A,"OTHER ACCIDENT WITH BABY STROLLER, INITIAL ENCOUNTER",17
V00.831A,"FALL FROM MOTORIZED MOBILITY SCOOTER, INITIAL ENCOUNTER",2065
V00.831D,"FALL FROM MOTORIZED MOBILITY SCOOTER, SUBSEQUENT ENCOUNTER",28
V00.831S,"FALL FROM MOTORIZED MOBILITY SCOOTER, SEQUELA",1
V00.832A,"MOTORIZED MOBILITY SCOOTER COLLIDING W STATNRY OBJ, INIT",50
V00.832D,"MOTORIZED MOBILITY SCOOTER COLLIDING W STATNRY OBJ, SUBS",1
V00.838A,"OTHER ACCIDENT WITH MOTORIZED MOBILITY SCOOTER, INIT ENCNTR",190
V00.838D,"OTHER ACCIDENT WITH MOTORIZED MOBILITY SCOOTER, SUBS ENCNTR",8
V00.841A,"FALL FROM STANDING ELECTRIC SCOOTER, INITIAL ENCOUNTER",2920
V00.841D,"FALL FROM STANDING ELECTRIC SCOOTER, SUBSEQUENT ENCOUNTER",55
V00.841S,"FALL FROM STANDING ELECTRIC SCOOTER, SEQUELA",1
V00.842A,"PED ON STND ELECTR SCOOT COLLIDING WITH STATNRY OBJ, INIT",168
V00.842D,"PED ON STND ELECTR SCOOT COLLIDING WITH STATNRY OBJ, SUBS",1
V00.848A,"OTHER ACCIDENT WITH STND MICR-MOB CONV, INITIAL ENCOUNTER",848
V00.848D,"OTHER ACCIDENT WITH STND MICR-MOB CONV, SUBSEQUENT ENCOUNTER",17
V00.848S,"OTHER ACCIDENT WITH STND MICR-MOB CONV, SEQUELA",2
V00.891A,"FALL FROM OTHER PEDESTRIAN CONVEYANCE, INITIAL ENCOUNTER",52
V00.892A,"PED ON OTH PEDESTRIAN CONVEY COLLIDING W STATNRY OBJ, INIT",8
V00.898A,"OTHER ACCIDENT ON OTHER PEDESTRIAN CONVEYANCE, INIT ENCNTR",13
V00.898D,"OTHER ACCIDENT ON OTHER PEDESTRIAN CONVEYANCE, SUBS ENCNTR",1
V01.00XA,"PED ON FOOT INJURED IN COLLISION W PEDL CYC NONTRAF, INIT",92
V01.00XD,"PED ON FOOT INJURED IN COLLISION W PEDL CYC NONTRAF, SUBS",2
V01.02XA,"PED ON SKTBRD INJURED IN COLLISION W PEDL CYC NONTRAF, INIT",2
V01.031A,"PED STND ELECTR SCOOT INJ CLSN WITH PEDL CYC NONTRAF, INIT",5
V01.09XA,"PED W CONVEY INJURED IN COLLISION W PEDL CYC NONTRAF, INIT",8
V01.10XA,"PED ON FOOT INJURED IN COLLISION W PEDL CYC IN TRAF, INIT",42
V01.11XA,"PED ON ROLR-SKT INJURED IN CLSN W PEDL CYC IN TRAF, INIT",1
V01.12XA,"PED ON SKTBRD INJURED IN COLLISION W PEDL CYC IN TRAF, INIT",1
V01.131A,"PED STND ELECTR SCOOT INJ CLSN WITH PEDL CYC IN TRAF, INIT",10
V01.131D,"PED STND ELECTR SCOOT INJ CLSN WITH PEDL CYC IN TRAF, SUBS",1
V01.90XA,"PED ON FOOT INJURED IN COLLISION W PEDL CYC, UNSP, INIT",157
V01.90XD,"PED ON FOOT INJURED IN COLLISION W PEDL CYC, UNSP, SUBS",4
V01.90XS,"PED ON FOOT INJURED IN COLLISION W PEDL CYC, UNSP, SEQUELA",1
V01.92XA,"PED ON SKTBRD INJURED IN COLLISION W PEDL CYC, UNSP, INIT",3
V01.931A,"PED ON STND ELECTR SCOOT INJ CLSN WITH PEDL CYC, UNSP, INIT",4
V01.99XA,"PED W CONVEY INJURED IN COLLISION W PEDL CYC, UNSP, INIT",10
V02.00XA,"PED ON FOOT INJURED IN COLLISION W 2/3-WHL MV NONTRAF, INIT",51
V02.031A,"PED ON STND ELECTR SCOOT INJ IN CLSN 2/3WHL NONTRAF, INIT",2
V02.09XA,"PED W CONVEY INJURED IN COLLISION W 2/3-WHL MV NONTRAF, INIT",7
V02.10XA,"PED ON FOOT INJURED IN COLLISION W 2/3-WHL MV IN TRAF, INIT",62
V02.10XD,"PED ON FOOT INJURED IN COLLISION W 2/3-WHL MV IN TRAF, SUBS",3
V02.131A,"PED ON STND ELECTR SCOOT INJ IN CLSN 2/3WHL IN TRAF, INIT",4
V02.19XA,"PED W CONVEY INJURED IN COLLISION W 2/3-WHL MV IN TRAF, INIT",13
V02.90XA,"PED ON FOOT INJURED IN COLLISION W 2/3-WHL MV, UNSP, INIT",93
V02.90XD,"PED ON FOOT INJURED IN COLLISION W 2/3-WHL MV, UNSP, SUBS",4
V02.92XA,"PED ON SKTBRD INJURED IN COLLISION W 2/3-WHL MV, UNSP, INIT",1
V02.931A,"PED ON STND ELECTR SCOOT INJURED IN CLSN 2/3WHL, UNSP, INIT",5
V02.99XA,"PED W CONVEY INJURED IN COLLISION W 2/3-WHL MV, UNSP, INIT",38
V02.99XD,"PED W CONVEY INJURED IN COLLISION W 2/3-WHL MV, UNSP, SUBS",1
V03.00XA,"PED ON FOOT INJURED PICK-UP TRUCK, PK-UP/VAN NONTRAF, INIT",1533
V03.00XD,"PED ON FOOT INJURED PICK-UP TRUCK, PK-UP/VAN NONTRAF, SUBS",18
V03.00XS,"PED ON FOOT INJ PICK-UP TRUCK, PK-UP/VAN NONTRAF, SEQUELA",3
V03.01XA,"PED ON ROLR-SKT INJ PICK-UP TRUCK, PK-UP/VAN NONTRAF, INIT",4
V03.02XA,"PED ON SKTBRD INJURED PICK-UP TRUCK, PK-UP/VAN NONTRAF, INIT",37
V03.031A,"PED ON STND ELECTR SCOOT INJ IN W/CAR/TRK/VAN NONTRAF, INIT",48
V03.031D,"PED ON STND ELECTR SCOOT INJ IN W/CAR/TRK/VAN NONTRAF, SUBS",1
V03.038A,"PED OTHER STND MICR-MOB CONV INJ W/CAR/TRK/VAN NONTRAF, INIT",2
V03.09XA,"PED W CONVEY INJURED PICK-UP TRUCK, PK-UP/VAN NONTRAF, INIT",151
V03.09XD,"PED W CONVEY INJURED PICK-UP TRUCK, PK-UP/VAN NONTRAF, SUBS",5
V03.10XA,"PED ON FOOT INJURED PICK-UP TRUCK, PK-UP/VAN IN TRAF, INIT",5140
V03.10XD,"PED ON FOOT INJURED PICK-UP TRUCK, PK-UP/VAN IN TRAF, SUBS",153
V03.10XS,"PED ON FOOT INJ PICK-UP TRUCK, PK-UP/VAN IN TRAF, SEQUELA",15
V03.11XA,"PED ON ROLR-SKT INJ PICK-UP TRUCK, PK-UP/VAN IN TRAF, INIT",3
V03.12XA,"PED ON SKTBRD INJURED PICK-UP TRUCK, PK-UP/VAN IN TRAF, INIT",152
V03.12XD,"PED ON SKTBRD INJURED PICK-UP TRUCK, PK-UP/VAN IN TRAF, SUBS",5
V03.131A,"PED ON STND ELECTR SCOOT INJ IN W/CAR/TRK/VAN IN TRAF, INIT",425
V03.131D,"PED ON STND ELECTR SCOOT INJ IN W/CAR/TRK/VAN IN TRAF, SUBS",3
V03.131S,"PED ON STND ELECTR SCOOT INJ IN W/CAR/TRK/VAN IN TRAF, SQLA",4
V03.138A,"PED OTHER STND MICR-MOB CONV INJ W/CAR/TRK/VAN IN TRAF, INIT",4
V03.19XA,"PED W CONVEY INJURED PICK-UP TRUCK, PK-UP/VAN IN TRAF, INIT",485
V03.19XD,"PED W CONVEY INJURED PICK-UP TRUCK, PK-UP/VAN IN TRAF, SUBS",12
V03.19XS,"PED W CONVEY INJ PICK-UP TRUCK, PK-UP/VAN IN TRAF, SEQUELA",1
V03.90XA,"PED ON FOOT INJURED PICK-UP TRUCK, PK-UP/VAN, UNSP, INIT",4187
V03.90XD,"PED ON FOOT INJURED PICK-UP TRUCK, PK-UP/VAN, UNSP, SUBS",223
V03.90XS,"PED ON FOOT INJURED PICK-UP TRUCK, PK-UP/VAN, UNSP, SEQUELA",25
V03.91XA,"PED ON ROLR-SKT INJURED PICK-UP TRUCK, PK-UP/VAN, UNSP, INIT",8
V03.92XA,"PED ON SKTBRD INJURED PICK-UP TRUCK, PK-UP/VAN, UNSP, INIT",110
V03.92XD,"PED ON SKTBRD INJURED PICK-UP TRUCK, PK-UP/VAN, UNSP, SUBS",4
V03.92XS,"PED ON SKTBRD INJ PICK-UP TRUCK, PK-UP/VAN, UNSP, SEQUELA",2
V03.931A,"PED ON STND ELECTR SCOOT INJ IN W/CAR/TRK/VAN, UNSP, INIT",176
V03.931D,"PED ON STND ELECTR SCOOT INJ IN W/CAR/TRK/VAN, UNSP, SUBS",4
V03.938A,"PED OTHER STND MICR-MOB CONV INJ W/CAR/TRK/VAN, UNSP, INIT",1
V03.99XA,"PED W CONVEY INJURED PICK-UP TRUCK, PK-UP/VAN, UNSP, INIT",944
V03.99XD,"PED W CONVEY INJURED PICK-UP TRUCK, PK-UP/VAN, UNSP, SUBS",25
V03.99XS,"PED W CONVEY INJURED PICK-UP TRUCK, PK-UP/VAN, UNSP, SEQUELA",3
V04.00XA,"PED ON FOOT INJURED IN COLLISION W HV VEH NONTRAF, INIT",39
V04.00XD,"PED ON FOOT INJURED IN COLLISION W HV VEH NONTRAF, SUBS",3
V04.02XA,"PED ON SKTBRD INJURED IN COLLISION W HV VEH NONTRAF, INIT",2
V04.09XA,"PED W CONVEY INJURED IN COLLISION W HV VEH NONTRAF, INIT",2
V04.10XA,"PED ON FOOT INJURED IN COLLISION W HV VEH IN TRAF, INIT",63
V04.10XD,"PED ON FOOT INJURED IN COLLISION W HV VEH IN TRAF, SUBS",2
V04.12XA,"PED ON SKTBRD INJURED IN COLLISION W HV VEH IN TRAF, INIT",1
V04.131A,"PED ON STND ELECTR SCOOT INJ CLSN WITH HV VEH IN TRAF, INIT",13
V04.138A,"PED OTH STND MICR-MOB CONV INJ CLSN W HV VEH IN TRAF, INIT",1
V04.19XA,"PED W CONVEY INJURED IN COLLISION W HV VEH IN TRAF, INIT",5
V04.90XA,"PEDESTRIAN ON FOOT INJURED IN COLLISION W HV VEH, UNSP, INIT",104
V04.90XD,"PEDESTRIAN ON FOOT INJURED IN COLLISION W HV VEH, UNSP, SUBS",6
V04.90XS,"PED ON FOOT INJURED IN COLLISION W HV VEH, UNSP, SEQUELA",1
V04.931A,"PED ON STND ELECTR SCOOT INJ IN CLSN WITH HV VEH, UNSP, INIT",2
V04.99XA,"PED W CONVEY INJURED IN COLLISION W HV VEH, UNSP, INIT",25
V04.99XD,"PED W CONVEY INJURED IN COLLISION W HV VEH, UNSP, SUBS",1
V05.00XA,"PED ON FOOT INJURED IN CLSN W RAIL TRN/VEH NONTRAF, INIT",11
V05.00XD,"PED ON FOOT INJURED IN CLSN W RAIL TRN/VEH NONTRAF, SUBS",1
V05.10XA,"PED ON FOOT INJURED IN CLSN W RAIL TRN/VEH IN TRAF, INIT",12
V05.10XS,"PED ON FOOT INJURED IN CLSN W RAIL TRN/VEH IN TRAF, SEQUELA",1
V05.12XA,"PED ON SKTBRD INJURED IN CLSN W RAIL TRN/VEH IN TRAF, INIT",1
V05.19XA,"PED W CONVEY INJURED IN CLSN W RAIL TRN/VEH IN TRAF, INIT",1
V05.19XD,"PED W CONVEY INJURED IN CLSN W RAIL TRN/VEH IN TRAF, SUBS",1
V05.90XA,"PED ON FOOT INJURED IN COLLISION W RAIL TRN/VEH, UNSP, INIT",12
V05.90XD,"PED ON FOOT INJURED IN COLLISION W RAIL TRN/VEH, UNSP, SUBS",1
V05.99XD,"PED W CONVEY INJURED IN COLLISION W RAIL TRN/VEH, UNSP, SUBS",1
V06.00XA,"PED ON FOOT INJURED IN CLSN W NONMTR VEHICLE NONTRAF, INIT",9
V06.031A,"PED ON STND ELECTR SCOOT INJ CLSN OTH NON-MV NONTRAF, INIT",3
V06.09XA,"PED W CONVEY INJURED IN CLSN W NONMTR VEHICLE NONTRAF, INIT",7
V06.10XA,"PED ON FOOT INJURED IN CLSN W NONMTR VEHICLE IN TRAF, INIT",6
V06.10XD,"PED ON FOOT INJURED IN CLSN W NONMTR VEHICLE IN TRAF, SUBS",1
V06.131A,"PED ON STND ELECTR SCOOT INJ CLSN OTH NON-MV IN TRAF, INIT",16
V06.131D,"PED ON STND ELECTR SCOOT INJ CLSN OTH NON-MV IN TRAF, SUBS",1
V06.19XA,"PED W CONVEY INJURED IN CLSN W NONMTR VEHICLE IN TRAF, INIT",2
V06.90XA,"PED ON FOOT INJURED IN CLSN W NONMTR VEHICLE, UNSP, INIT",20
V06.91XA,"PED ON ROLR-SKT INJURED IN CLSN W NONMTR VEHICLE, UNSP, INIT",1
V06.931A,"PED ON STND ELECTR SCOOT INJ IN CLSN OTH NON-MV, UNSP, INIT",5
V06.931D,"PED ON STND ELECTR SCOOT INJ IN CLSN OTH NON-MV, UNSP, SUBS",1
V06.99XA,"PED W CONVEY INJURED IN CLSN W NONMTR VEHICLE, UNSP, INIT",13
V09.00XA,"PEDESTRIAN INJURED NONTRAF INVOLVING UNSP MV, INIT",207
V09.00XD,"PEDESTRIAN INJURED NONTRAF INVOLVING UNSP MV, SUBS",6
V09.00XS,"PEDESTRIAN INJURED NONTRAF INVOLVING UNSP MV, SEQUELA",1
V09.09XA,"PEDESTRIAN INJURED NONTRAF INVOLVING OTH MV, INIT",139
V09.09XD,"PEDESTRIAN INJURED NONTRAF INVOLVING OTH MV, SUBS",4
V09.1XXA,"PEDESTRIAN INJURED IN UNSP NONTRAFFIC ACCIDENT, INIT ENCNTR",105
V09.1XXD,"PEDESTRIAN INJURED IN UNSP NONTRAFFIC ACCIDENT, SUBS ENCNTR",1
V09.20XA,"PEDESTRIAN INJURED IN TRAF INVOLVING UNSP MV, INIT",1071
V09.20XD,"PEDESTRIAN INJURED IN TRAF INVOLVING UNSP MV, SUBS",55
V09.20XS,"PEDESTRIAN INJURED IN TRAF INVOLVING UNSP MV, SEQUELA",2
V09.21XA,"PEDESTRIAN INJURED IN TRAF INVOLVING MILITARY VEHICLE, INIT",4
V09.29XA,"PEDESTRIAN INJURED IN TRAF INVOLVING OTH MV, INIT",281
V09.29XD,"PEDESTRIAN INJURED IN TRAF INVOLVING OTH MV, SUBS",17
V09.29XS,"PEDESTRIAN INJURED IN TRAF INVOLVING OTH MV, SEQUELA",1
V09.3XXA,"PEDESTRIAN INJURED IN UNSP TRAFFIC ACCIDENT, INIT ENCNTR",201
V09.3XXD,"PEDESTRIAN INJURED IN UNSP TRAFFIC ACCIDENT, SUBS ENCNTR",1
V09.3XXS,"PEDESTRIAN INJURED IN UNSPECIFIED TRAFFIC ACCIDENT, SEQUELA",3
V09.9XXA,"PEDESTRIAN INJURED IN UNSP TRANSPORT ACCIDENT, INIT ENCNTR",1606
V09.9XXD,"PEDESTRIAN INJURED IN UNSP TRANSPORT ACCIDENT, SUBS ENCNTR",83
V09.9XXS,"PEDESTRIAN INJURED IN UNSP TRANSPORT ACCIDENT, SEQUELA",13
V10.0XXA,"PEDL CYC DRIVER INJURED IN CLSN W PED/ANML NONTRAF, INIT",36
V10.2XXA,"UNSP PEDL CYCLST INJURED IN CLSN W PED/ANML NONTRAF, INIT",2
V10.3XXA,"PRSN BRD/ALIT PEDL CYC INJURED IN COLLISION W PED/ANML, INIT",1
V10.4XXA,"PEDL CYC DRIVER INJURED IN CLSN W PED/ANML IN TRAF, INIT",52
V10.9XXA,"UNSP PEDL CYCLST INJURED IN CLSN W PED/ANML IN TRAF, INIT",11
V11.0XXA,"PEDL CYC DRIVER INJURED IN CLSN W OTH PEDL CYC NONTRAF, INIT",133
V11.0XXD,"PEDL CYC DRIVER INJURED IN CLSN W OTH PEDL CYC NONTRAF, SUBS",1
V11.2XXA,"UNSP PEDL CYCLST INJ IN CLSN W OTH PEDL CYC NONTRAF, INIT",10
V11.3XXA,"PRSN BRD/ALIT PEDL CYC INJURED IN CLSN W OTH PEDL CYC, INIT",2
V11.4XXA,"PEDL CYC DRIVER INJURED IN CLSN W OTH PEDL CYC IN TRAF, INIT",264
V11.4XXD,"PEDL CYC DRIVER INJURED IN CLSN W OTH PEDL CYC IN TRAF, SUBS",2
V11.5XXA,"PEDL CYC PASNGR INJURED IN CLSN W OTH PEDL CYC IN TRAF, INIT",3
V11.9XXA,"UNSP PEDL CYCLST INJ IN CLSN W OTH PEDL CYC IN TRAF, INIT",17
V11.9XXD,"UNSP PEDL CYCLST INJ IN CLSN W OTH PEDL CYC IN TRAF, SUBS",1
V12.0XXA,"PEDL CYC DRIVER INJURED IN CLSN W 2/3-WHL MV NONTRAF, INIT",3
V12.4XXA,"PEDL CYC DRIVER INJURED IN CLSN W 2/3-WHL MV IN TRAF, INIT",36
V12.9XXA,"UNSP PEDL CYCLST INJURED IN CLSN W 2/3-WHL MV IN TRAF, INIT",2
V13.0XXA,"PEDL CYC DRIVER INJ PICK-UP TRUCK, PK-UP/VAN NONTRAF, INIT",296
V13.0XXD,"PEDL CYC DRIVER INJ PICK-UP TRUCK, PK-UP/VAN NONTRAF, SUBS",5
V13.1XXA,"PEDL CYC PASNGR INJ PICK-UP TRUCK, PK-UP/VAN NONTRAF, INIT",5
V13.2XXA,"UNSP PEDL CYCLST INJ PICK-UP TRUCK, PK-UP/VAN NONTRAF, INIT",120
V13.2XXD,"UNSP PEDL CYCLST INJ PICK-UP TRUCK, PK-UP/VAN NONTRAF, SUBS",3
V13.3XXA,"PRSN BRD/ALIT PEDL CYC INJ PICK-UP TRUCK, PK-UP/VAN, INIT",10
V13.4XXA,"PEDL CYC DRIVER INJ PICK-UP TRUCK, PK-UP/VAN IN TRAF, INIT",4490
V13.4XXD,"PEDL CYC DRIVER INJ PICK-UP TRUCK, PK-UP/VAN IN TRAF, SUBS",83
V13.4XXS,"PEDL CYC DRIVER INJ PK-UP TRUCK, PK-UP/VAN IN TRAF, SEQUELA",5
V13.5XXA,"PEDL CYC PASNGR INJ PICK-UP TRUCK, PK-UP/VAN IN TRAF, INIT",21
V13.5XXD,"PEDL CYC PASNGR INJ PICK-UP TRUCK, PK-UP/VAN IN TRAF, SUBS",1
V13.9XXA,"UNSP PEDL CYCLST INJ PICK-UP TRUCK, PK-UP/VAN IN TRAF, INIT",188
V13.9XXD,"UNSP PEDL CYCLST INJ PICK-UP TRUCK, PK-UP/VAN IN TRAF, SUBS",3
V13.9XXS,"UNSP PEDL CYCLST INJ PK-UP TRUCK, PK-UP/VAN IN TRAF, SEQUELA",2
V14.0XXA,"PEDL CYC DRIVER INJURED IN COLLISION W HV VEH NONTRAF, INIT",4
V14.3XXA,"PRSN BRD/ALIT PEDL CYC INJURED IN COLLISION W HV VEH, INIT",1
V14.4XXA,"PEDL CYC DRIVER INJURED IN COLLISION W HV VEH IN TRAF, INIT",76
V14.4XXD,"PEDL CYC DRIVER INJURED IN COLLISION W HV VEH IN TRAF, SUBS",1
V14.9XXA,"UNSP PEDL CYCLST INJURED IN COLLISION W HV VEH IN TRAF, INIT",3
V15.4XXA,"PEDL CYC DRIVER INJURED IN CLSN W RAIL TRN/VEH IN TRAF, INIT",2
V16.0XXA,"PEDL CYC DRIVER INJ IN CLSN W NONMTR VEHICLE NONTRAF, INIT",23
V16.1XXA,"PEDL CYC PASNGR INJ IN CLSN W NONMTR VEHICLE NONTRAF, INIT",1
V16.2XXA,"UNSP PEDL CYCLST INJ IN CLSN W NONMTR VEHICLE NONTRAF, INIT",1
V16.3XXA,"PRSN BRD/ALIT PEDL CYC INJ IN CLSN W NONMTR VEH NONTRAF,INIT",1
V16.4XXA,"PEDL CYC DRIVER INJ IN CLSN W NONMTR VEHICLE IN TRAF, INIT",15
V16.9XXA,"UNSP PEDL CYCLST INJ IN CLSN W NONMTR VEHICLE IN TRAF, INIT",1
V17.0XXA,"PEDL CYC DRIVER INJ IN CLSN W STATNRY OBJECT NONTRAF, INIT",556
V17.0XXD,"PEDL CYC DRIVER INJ IN CLSN W STATNRY OBJECT NONTRAF, SUBS",3
V17.1XXA,"PEDL CYC PASNGR INJ IN CLSN W STATNRY OBJECT NONTRAF, INIT",4
V17.2XXA,"UNSP PEDL CYCLST INJ IN CLSN W STATNRY OBJECT NONTRAF, INIT",48
V17.3XXA,"PRSN BRD/ALIT PEDL CYC INJ IN CLSN W STATNRY OBJECT, INIT",2
V17.4XXA,"PEDL CYC DRIVER INJ IN CLSN W STATNRY OBJECT IN TRAF, INIT",823
V17.4XXD,"PEDL CYC DRIVER INJ IN CLSN W STATNRY OBJECT IN TRAF, SUBS",8
V17.5XXA,"PEDL CYC PASNGR INJ IN CLSN W STATNRY OBJECT IN TRAF, INIT",3
V17.9XXA,"UNSP PEDL CYCLST INJ IN CLSN W STATNRY OBJECT IN TRAF, INIT",41
V17.9XXD,"UNSP PEDL CYCLST INJ IN CLSN W STATNRY OBJECT IN TRAF, SUBS",2
V18.0XXA,"PEDL CYC DRIVER INJURED IN NONCLSN TRNSP ACC NONTRAF, INIT",10217
V18.0XXD,"PEDL CYC DRIVER INJURED IN NONCLSN TRNSP ACC NONTRAF, SUBS",140
V18.0XXS,"PEDL CYC DRIVER INJ IN NONCLSN TRNSP ACC NONTRAF, SEQUELA",11
V18.1XXA,"PEDL CYC PASNGR INJURED IN NONCLSN TRNSP ACC NONTRAF, INIT",80
V18.1XXD,"PEDL CYC PASNGR INJURED IN NONCLSN TRNSP ACC NONTRAF, SUBS",1
